ip,prefix,origin
169.0.0.0,15,37611
169.0.0.0,24,37611
169.0.100.0,24,37611
169.0.10.0,24,37611
169.0.101.0,24,37611
169.0.102.0,24,37611
169.0.1.0,24,37611
169.0.103.0,24,37611
169.0.104.0,24,37611
169.0.105.0,24,37611
169.0.106.0,24,37611
169.0.107.0,24,37611
169.0.108.0,24,37611
169.0.109.0,24,37611
169.0.110.0,24,37611
169.0.11.0,24,37611
169.0.111.0,24,37611
169.0.112.0,24,37611
169.0.113.0,24,37611
169.0.114.0,24,37611
169.0.115.0,24,37611
169.0.116.0,24,37611
169.0.117.0,24,37611
169.0.118.0,24,37611
169.0.119.0,24,37611
169.0.120.0,24,37611
169.0.12.0,24,37611
169.0.121.0,24,37611
169.0.122.0,24,37611
169.0.123.0,24,37611
169.0.124.0,24,37611
169.0.125.0,24,37611
169.0.126.0,24,37611
169.0.127.0,24,37611
169.0.128.0,24,37611
169.0.129.0,24,37611
169.0.130.0,24,37611
169.0.13.0,24,37611
169.0.131.0,24,37611
169.0.132.0,24,37611
169.0.133.0,24,37611
169.0.134.0,24,37611
169.0.135.0,24,37611
169.0.136.0,24,37611
169.0.137.0,24,37611
169.0.138.0,24,37611
169.0.139.0,24,37611
169.0.140.0,24,37611
169.0.14.0,24,37611
169.0.141.0,24,37611
169.0.142.0,24,37611
169.0.143.0,24,37611
169.0.144.0,24,37611
169.0.145.0,24,37611
169.0.146.0,24,37611
169.0.147.0,24,37611
169.0.148.0,24,37611
169.0.149.0,24,37611
169.0.150.0,24,37611
169.0.15.0,24,37611
169.0.151.0,24,37611
169.0.152.0,24,37611
169.0.153.0,24,37611
169.0.154.0,24,37611
169.0.155.0,24,37611
169.0.156.0,24,37611
169.0.157.0,24,37611
169.0.158.0,24,37611
169.0.159.0,24,37611
169.0.160.0,24,37611
169.0.16.0,24,37611
169.0.161.0,24,37611
169.0.162.0,24,37611
169.0.163.0,24,37611
169.0.164.0,24,37611
169.0.165.0,24,37611
169.0.166.0,24,37611
169.0.167.0,24,37611
169.0.168.0,24,37611
169.0.169.0,24,37611
169.0.170.0,24,37611
169.0.17.0,24,37611
169.0.171.0,24,37611
169.0.172.0,24,37611
169.0.173.0,24,37611
169.0.174.0,24,37611
169.0.175.0,24,37611
169.0.176.0,24,37611
169.0.177.0,24,37611
169.0.178.0,24,37611
169.0.179.0,24,37611
169.0.180.0,24,37611
169.0.18.0,24,37611
169.0.181.0,24,37611
169.0.182.0,24,37611
169.0.183.0,24,37611
169.0.184.0,24,37611
169.0.185.0,24,37611
169.0.186.0,24,37611
169.0.187.0,24,37611
169.0.188.0,24,37611
169.0.189.0,24,37611
169.0.190.0,24,37611
169.0.19.0,24,37611
169.0.191.0,24,37611
169.0.192.0,24,37611
169.0.193.0,24,37611
169.0.194.0,24,37611
169.0.195.0,24,37611
169.0.196.0,24,37611
169.0.197.0,24,37611
169.0.198.0,24,37611
169.0.199.0,24,37611
169.0.200.0,24,37611
169.0.20.0,24,37611
169.0.201.0,24,37611
169.0.202.0,24,37611
169.0.2.0,24,37611
169.0.203.0,24,37611
169.0.204.0,24,37611
169.0.205.0,24,37611
169.0.206.0,24,37611
169.0.207.0,24,37611
169.0.208.0,24,37611
169.0.209.0,24,37611
169.0.210.0,24,37611
169.0.21.0,24,37611
169.0.211.0,24,37611
169.0.212.0,24,37611
169.0.213.0,24,37611
169.0.214.0,24,37611
169.0.215.0,24,37611
169.0.216.0,24,37611
169.0.217.0,24,37611
169.0.218.0,24,37611
169.0.219.0,24,37611
169.0.220.0,24,37611
169.0.22.0,24,37611
169.0.221.0,24,37611
169.0.222.0,24,37611
169.0.223.0,24,37611
169.0.224.0,24,37611
169.0.225.0,24,37611
169.0.226.0,24,37611
169.0.227.0,24,37611
169.0.228.0,24,37611
169.0.229.0,24,37611
169.0.230.0,24,37611
169.0.23.0,24,37611
169.0.231.0,24,37611
169.0.232.0,24,37611
169.0.233.0,24,37611
169.0.234.0,24,37611
169.0.235.0,24,37611
169.0.236.0,24,37611
169.0.237.0,24,37611
169.0.238.0,24,37611
169.0.239.0,24,37611
169.0.240.0,24,37611
169.0.24.0,24,37611
169.0.241.0,24,37611
169.0.242.0,24,37611
169.0.243.0,24,37611
169.0.244.0,24,37611
169.0.245.0,24,37611
169.0.246.0,24,37611
169.0.247.0,24,37611
169.0.248.0,24,37611
169.0.249.0,24,37611
169.0.250.0,24,37611
169.0.25.0,24,37611
169.0.251.0,24,37611
169.0.252.0,24,37611
169.0.253.0,24,37611
169.0.254.0,24,37611
169.0.255.0,24,37611
169.0.26.0,24,37611
169.0.27.0,24,37611
169.0.28.0,24,37611
169.0.29.0,24,37611
169.0.30.0,24,37611
169.0.3.0,24,37611
169.0.31.0,24,37611
169.0.32.0,24,37611
169.0.33.0,24,37611
169.0.34.0,24,37611
169.0.35.0,24,37611
169.0.36.0,24,37611
169.0.37.0,24,37611
169.0.38.0,24,37611
169.0.39.0,24,37611
169.0.40.0,24,37611
169.0.4.0,24,37611
169.0.41.0,24,37611
169.0.42.0,24,37611
169.0.43.0,24,37611
169.0.44.0,24,37611
169.0.45.0,24,37611
169.0.46.0,24,37611
169.0.47.0,24,37611
169.0.48.0,24,37611
169.0.49.0,24,37611
169.0.50.0,24,37611
169.0.5.0,24,37611
169.0.51.0,24,37611
169.0.52.0,24,37611
169.0.53.0,24,37611
169.0.54.0,24,37611
169.0.55.0,24,37611
169.0.56.0,24,37611
169.0.58.0,24,37611
169.0.59.0,24,37611
169.0.60.0,24,37611
169.0.6.0,24,37611
169.0.61.0,24,37611
169.0.63.0,24,37611
169.0.64.0,24,37611
169.0.65.0,24,37611
169.0.66.0,24,37611
169.0.67.0,24,37611
169.0.68.0,24,37611
169.0.69.0,24,37611
169.0.70.0,24,37611
169.0.7.0,24,37611
169.0.71.0,24,37611
169.0.72.0,24,37611
169.0.73.0,24,37611
169.0.74.0,24,37611
169.0.75.0,24,37611
169.0.76.0,24,37611
169.0.77.0,24,37611
169.0.78.0,24,37611
169.0.79.0,24,37611
169.0.80.0,24,37611
169.0.8.0,24,37611
169.0.81.0,24,37611
169.0.82.0,24,37611
169.0.83.0,24,37611
169.0.84.0,24,37611
169.0.85.0,24,37611
169.0.86.0,24,37611
169.0.87.0,24,37611
169.0.88.0,24,37611
169.0.89.0,24,37611
169.0.90.0,24,37611
169.0.9.0,24,37611
169.0.91.0,24,37611
169.0.92.0,24,37611
169.0.93.0,24,37611
169.0.94.0,24,37611
169.0.95.0,24,37611
169.0.96.0,24,37611
169.0.97.0,24,37611
169.0.98.0,24,37611
169.0.99.0,24,37611
169.1.0.0,24,37611
169.1.100.0,24,37611
169.1.101.0,24,37611
169.1.102.0,24,37611
169.1.1.0,24,37611
169.1.103.0,24,37611
169.1.104.0,24,37611
169.1.105.0,24,37611
169.1.106.0,24,37611
169.1.107.0,24,37611
169.1.108.0,24,37611
169.1.109.0,24,37611
169.1.110.0,24,37611
169.1.112.0,24,37611
169.1.113.0,24,37611
169.1.114.0,24,37611
169.1.115.0,24,37611
169.1.116.0,24,37611
169.1.117.0,24,37611
169.1.118.0,24,37611
169.1.119.0,24,37611
169.1.120.0,24,37611
169.1.12.0,22,37611
169.1.121.0,24,37611
169.1.122.0,24,37611
169.1.123.0,24,37611
169.1.124.0,24,37611
169.1.125.0,24,37611
169.1.126.0,24,37611
169.1.127.0,24,37611
169.1.128.0,24,37611
169.1.129.0,24,37611
169.1.130.0,24,37611
169.1.131.0,24,37611
169.1.132.0,24,37611
169.1.133.0,24,37611
169.1.134.0,24,37611
169.1.135.0,24,37611
169.1.136.0,24,37611
169.1.137.0,24,37611
169.1.138.0,24,37611
169.1.139.0,24,37611
169.1.140.0,24,37611
169.1.142.0,24,37611
169.1.143.0,24,37611
169.1.144.0,24,37611
169.1.145.0,24,37611
169.1.146.0,24,37611
169.1.147.0,24,37611
169.1.148.0,24,37611
169.1.149.0,24,37611
169.1.150.0,24,37611
169.1.151.0,24,37611
169.1.152.0,24,37611
169.1.153.0,24,37611
169.1.154.0,24,37611
169.1.155.0,24,37611
169.1.156.0,24,37611
169.1.157.0,24,37611
169.1.158.0,24,37611
169.1.159.0,24,37611
169.1.160.0,24,37611
169.1.16.0,22,37611
169.1.161.0,24,37611
169.1.162.0,24,37611
169.1.163.0,24,37611
169.1.164.0,24,37611
169.1.165.0,24,37611
169.1.166.0,24,37611
169.1.167.0,24,37611
169.1.168.0,24,37611
169.1.169.0,24,37611
169.1.170.0,24,37611
169.1.171.0,24,37611
169.1.172.0,24,37611
169.1.173.0,24,37611
169.1.174.0,24,37611
169.1.175.0,24,37611
169.1.176.0,24,37611
169.1.177.0,24,37611
169.1.178.0,24,37611
169.1.179.0,24,37611
169.1.180.0,24,37611
169.1.181.0,24,37611
169.1.182.0,24,37611
169.1.183.0,24,37611
169.1.184.0,24,37611
169.1.185.0,24,37611
169.1.186.0,24,37611
169.1.187.0,24,37611
169.1.188.0,24,37611
169.1.189.0,24,37611
169.1.190.0,24,37611
169.1.191.0,24,37611
169.1.192.0,24,37611
169.1.193.0,24,37611
169.1.194.0,24,37611
169.1.195.0,24,37611
169.1.196.0,24,37611
169.1.197.0,24,37611
169.1.198.0,24,37611
169.1.200.0,24,37611
169.12.0.0,14,7792
169.1.20.0,24,37611
169.1.201.0,24,37611
169.1.202.0,24,37611
169.1.2.0,24,37611
169.1.203.0,24,37611
169.1.204.0,24,37611
169.1.207.0,24,37611
169.1.208.0,24,37611
169.1.209.0,24,37611
169.1.210.0,24,37611
169.1.211.0,24,37611
169.1.213.0,24,37611
169.1.214.0,24,37611
169.1.215.0,24,37611
169.1.216.0,24,37611
169.1.217.0,24,37611
169.1.218.0,24,37611
169.1.22.0,24,37611
169.1.23.0,24,37611
169.1.24.0,24,37611
169.128.10.0,24,13717
169.128.224.0,21,13717
169.128.224.0,22,13717
169.128.230.0,24,13717
169.128.231.0,24,13717
169.128.232.0,21,13717
169.128.232.0,22,13717
169.128.236.0,23,1239
169.128.238.0,24,13717
169.128.239.0,24,13717
169.128.240.0,24,13717
169.128.241.0,24,13717
169.128.242.0,24,13717
169.128.245.0,24,13717
169.128.246.0,23,13717
169.128.248.0,21,13717
169.128.250.0,24,13717
169.128.251.0,24,13717
169.128.252.0,24,13717
169.128.32.0,24,395137
169.128.33.0,24,395137
169.128.34.0,24,395137
169.128.35.0,24,395137
169.128.37.0,24,395137
169.128.38.0,23,395137
169.128.40.0,24,395137
169.128.41.0,24,1239
169.128.42.0,23,1239
169.128.44.0,24,1239
169.128.45.0,24,1239
169.128.46.0,24,1239
169.128.47.0,24,395137
169.130.0.0,16,7029
169.130.0.0,22,7029
169.130.108.0,22,7029
169.130.116.0,22,7029
169.130.12.0,22,7029
169.130.124.0,22,7029
169.130.132.0,22,7029
169.130.136.0,22,7029
169.130.140.0,22,7029
169.130.144.0,22,7029
169.130.148.0,22,7029
169.130.152.0,22,7029
169.130.156.0,22,7029
169.130.16.0,22,7029
169.130.165.0,24,7029
169.130.166.0,24,7029
169.130.172.0,22,7029
169.130.176.0,22,7029
169.130.180.0,22,7029
169.130.196.0,22,7029
169.130.20.0,22,7029
169.130.204.0,22,7029
169.130.240.0,22,7029
169.130.24.0,22,7029
169.1.3.0,24,37611
169.130.244.0,22,7029
169.130.248.0,22,7029
169.130.28.0,22,7029
169.130.32.0,22,7029
169.130.36.0,22,7029
169.130.48.0,22,7029
169.130.72.0,22,7029
169.130.76.0,22,7029
169.130.8.0,22,7029
169.130.84.0,22,7029
169.130.88.0,22,7029
169.130.92.0,22,7029
169.131.10.0,24,4531
169.131.1.0,24,4531
169.131.128.0,24,36591
169.131.129.0,24,36591
169.131.130.0,24,36591
169.131.135.0,24,36591
169.131.136.0,24,36591
169.131.140.0,24,36591
169.131.20.0,24,4531
169.131.2.0,24,4531
169.131.240.0,24,36591
169.131.241.0,24,36591
169.131.242.0,24,36591
169.131.250.0,24,36591
169.132.0.0,16,7270
169.1.32.0,24,37611
169.132.128.0,20,7270
169.132.128.0,23,7270
169.132.130.0,23,7270
169.132.13.0,24,7270
169.132.132.0,23,7270
169.132.134.0,23,7270
169.132.136.0,23,7270
169.132.138.0,23,7270
169.132.140.0,23,7270
169.132.165.0,24,7270
169.132.18.0,24,7270
169.132.192.0,20,7270
169.132.208.0,20,7270
169.132.26.0,24,7270
169.132.52.0,24,7270
169.133.0.0,16,18815
169.133.0.0,20,18815
169.133.127.0,24,18815
169.133.239.0,24,18815
169.133.242.0,23,18815
169.133.247.0,24,18815
169.133.250.0,23,18815
169.133.252.0,22,18815
169.133.80.0,24,18815
169.135.0.0,16,2576
169.136.0.0,22,7018
169.137.0.0,16,13433
169.137.0.0,17,13433
169.137.128.0,17,13433
169.139.0.0,16,8103
169.139.0.0,20,11686
169.139.0.0,22,11686
169.139.115.0,24,26906
169.139.119.0,24,8103
169.139.121.0,24,8103
169.139.126.0,24,8103
169.139.16.0,24,62615
169.139.164.0,24,8103
169.139.166.0,24,8103
169.139.176.0,24,7915
169.139.177.0,24,22487
169.139.178.0,23,22487
169.139.18.0,23,8103
169.139.190.0,23,53979
169.139.190.0,24,53979
169.139.19.0,24,10774
169.139.191.0,24,53979
169.139.240.0,24,8103
169.139.248.0,22,8103
169.139.250.0,23,8103
169.139.250.0,24,10774
169.139.251.0,24,10774
169.139.31.0,24,10774
169.139.4.0,22,11686
169.139.52.0,24,22487
169.139.56.0,24,8103
169.139.65.0,24,8103
169.139.8.0,21,11686
169.139.99.0,24,8103
169.140.100.0,24,18305
169.140.115.0,24,18305
169.140.116.0,24,18305
169.140.123.0,24,18305
169.140.124.0,24,18305
169.140.125.0,24,18305
169.140.126.0,24,18305
169.140.127.0,24,18305
169.140.205.0,24,18305
169.1.4.0,24,37611
169.140.60.0,24,18305
169.142.0.0,16,2572
169.143.0.0,24,3356
169.143.10.0,24,3356
169.143.128.0,24,26121
169.143.20.0,23,13649
169.143.2.0,24,3356
169.143.243.0,24,19855
169.143.244.0,22,26121
169.144.0.0,16,158
169.144.24.0,24,134237
169.145.0.0,20,6979
169.145.100.0,23,393611
169.145.112.0,24,7151
169.145.120.0,22,21610
169.145.130.0,24,40516
169.145.136.0,24,394946
169.145.137.0,24,394953
169.145.192.0,20,18219
169.145.2.0,24,6979
169.145.224.0,20,4713
169.145.28.0,22,6979
169.145.32.0,21,6979
169.145.42.0,24,812
169.145.46.0,23,6979
169.145.46.0,24,6979
169.145.49.0,24,3549
169.145.5.0,24,6979
169.145.52.0,24,701
169.145.53.0,24,14551
169.145.56.0,21,6979
169.145.64.0,20,6979
169.145.64.0,22,6979
169.145.87.0,24,25972
169.145.88.0,22,25972
169.145.92.0,24,25972
169.145.97.0,24,6979
169.145.98.0,23,6979
169.146.0.0,16,20115
169.147.0.0,16,11659
169.147.0.0,17,11659
169.147.128.0,18,11659
169.147.192.0,18,11659
169.147.192.0,19,11659
169.147.224.0,19,11659
169.147.252.0,24,11659
169.147.253.0,24,11659
169.1.48.0,20,16637
169.1.48.0,20,37611
169.148.201.0,24,63849
169.148.251.0,24,23174
169.149.0.0,16,55836
169.149.0.0,19,55836
169.149.126.0,24,55836
169.149.127.0,24,55836
169.149.128.0,19,55836
169.149.160.0,19,55836
169.149.192.0,19,55836
169.149.224.0,19,55836
169.149.32.0,19,55836
169.149.64.0,24,55836
169.149.65.0,24,55836
169.149.66.0,24,55836
169.149.67.0,24,55836
169.150.0.0,16,7018
169.1.5.0,24,37611
169.151.0.0,16,7018
169.152.0.0,16,7922
169.152.128.0,19,7015
169.152.160.0,19,33491
169.152.208.0,20,7015
169.152.224.0,19,7015
169.152.54.0,23,7015
169.152.56.0,21,7015
169.152.64.0,18,7015
169.153.0.0,16,7867
169.153.0.0,17,7867
169.153.128.0,17,7867
169.153.135.0,24,7867
169.153.136.0,24,26788
169.153.138.0,24,3790
169.153.178.0,24,7867
169.153.184.0,24,7867
169.153.190.0,24,7867
169.153.191.0,24,7867
169.153.192.0,24,7867
169.153.193.0,24,7867
169.153.202.0,24,7867
169.153.203.0,24,7867
169.153.230.0,24,7867
169.153.232.0,24,7867
169.153.233.0,24,7867
169.153.42.0,24,7867
169.154.0.0,16,7847
169.154.128.0,17,7847
169.154.197.0,24,22767
169.155.0.0,16,18722
169.155.0.0,17,18722
169.155.128.0,17,3525
169.155.176.0,23,3525
169.155.178.0,24,3525
169.155.182.0,23,3525
169.156.0.0,16,6189
169.157.0.0,16,8103
169.158.0.0,16,10569
169.159.0.0,19,37390
169.159.190.0,23,327957
169.159.192.0,20,3356
169.159.192.0,21,3356
169.159.200.0,21,3356
169.159.208.0,24,37453
